Code,Description
I12.9,"hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
I13.0,"hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
I13.10,"hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
I13.11,"hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease"
I13.2,"hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
I15.0,renovascular hypertension
I15.1,hypertension secondary to other renal disorders
I15.2,hypertension secondary to endocrine disorders
I15.8,other secondary hypertension
I15.9,"secondary hypertension, unspecified"
I16.0,hypertensive urgency
I16.1,hypertensive emergency
I16.9,"hypertensive crisis, unspecified"
I1A.0,resistant hypertension
I20.0,unstable angina
I20.1,angina pectoris with documented spasm
I20.2,refractory angina pectoris
I20.81,angina pectoris with coronary microvascular dysfunction
I20.89,other forms of angina pectoris
I20.9,"angina pectoris, unspecified"
I21.01,st elevation (stemi) myocardial infarction involving left main coronary artery
I21.02,st elevation (stemi) myocardial infarction involving left anterior descending coronary artery
I21.09,st elevation (stemi) myocardial infarction involving other coronary artery of anterior wall
I21.11,st elevation (stemi) myocardial infarction involving right coronary artery
I21.19,st elevation (stemi) myocardial infarction involving other coronary artery of inferior wall
I21.21,st elevation (stemi) myocardial infarction involving left circumflex coronary artery
I21.29,st elevation (stemi) myocardial infarction involving other sites
I21.3,st elevation (stemi) myocardial infarction of unspecified site
I21.4,non-st elevation (nstemi) myocardial infarction
I21.9,"acute myocardial infarction, unspecified"
I21.A1,myocardial infarction type 2
I21.A9,other myocardial infarction type
I21.B,myocardial infarction with coronary microvascular dysfunction
I22.0,subsequent st elevation (stemi) myocardial infarction of anterior wall
I22.1,subsequent st elevation (stemi) myocardial infarction of inferior wall
I22.2,subsequent non-st elevation (nstemi) myocardial infarction
I22.8,subsequent st elevation (stemi) myocardial infarction of other sites
I22.9,subsequent st elevation (stemi) myocardial infarction of unspecified site
I23.0,hemopericardium as current complication following acute myocardial infarction
I23.1,atrial septal defect as current complication following acute myocardial infarction
I23.2,ventricular septal defect as current complication following acute myocardial infarction
I23.3,rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
I23.4,rupture of chordae tendineae as current complication following acute myocardial infarction
I23.5,rupture of papillary muscle as current complication following acute myocardial infarction
I23.6,"thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
I23.7,postinfarction angina
I23.8,other current complications following acute myocardial infarction
I24.0,acute coronary thrombosis not resulting in myocardial infarction
I24.1,dressler's syndrome
I24.81,acute coronary microvascular dysfunction
I24.89,other forms of acute ischemic heart disease
I24.9,"acute ischemic heart disease, unspecified"
I25.10,atherosclerotic heart disease of native coronary artery without angina pectoris
I25.110,atherosclerotic heart disease of native coronary artery with unstable angina pectoris
I25.111,atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm
I25.112,atherosclerotic heart disease of native coronary artery with refractory angina pectoris
I25.118,atherosclerotic heart disease of native coronary artery with other forms of angina pectoris
I25.119,atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
I25.2,old myocardial infarction
I25.3,aneurysm of heart
I25.41,coronary artery aneurysm
I25.42,coronary artery dissection
I25.5,ischemic cardiomyopathy
I25.6,silent myocardial ischemia
I25.700,"atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris"
I25.701,"atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm"
I25.702,"atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris"
I25.708,"atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris"
I25.709,"atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris"
I25.710,atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
I25.711,atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.712,atherosclerosis of autologous vein coronary artery bypass graft(s) with refractory angina pectoris
I25.718,atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris
I25.719,atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris
I25.720,atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris
I25.721,atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.722,atherosclerosis of autologous artery coronary artery bypass graft(s) with refractory angina pectoris
I25.728,atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris
I25.729,atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris
I25.730,atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
I25.731,atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.732,atherosclerosis of nonautologous biological coronary artery bypass graft(s) with refractory angina pectoris
I25.738,atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris
I25.739,atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris
I25.750,atherosclerosis of native coronary artery of transplanted heart with unstable angina
I25.751,atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm
I25.752,atherosclerosis of native coronary artery of transplanted heart with refractory angina pectoris
I25.758,atherosclerosis of native coronary artery of transplanted heart with other forms of angina pectoris
I25.759,atherosclerosis of native coronary artery of transplanted heart with unspecified angina pectoris
I25.760,atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina
I25.761,atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm
I25.762,atherosclerosis of bypass graft of coronary artery of transplanted heart with refractory angina pectoris
I25.768,atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris
I25.769,atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris
I25.790,atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
I25.791,atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm
I25.792,atherosclerosis of other coronary artery bypass graft(s) with refractory angina pectoris
I25.798,atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris
I25.799,atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris
I25.810,atherosclerosis of coronary artery bypass graft(s) without angina pectoris
I25.811,atherosclerosis of native coronary artery of transplanted heart without angina pectoris
I25.812,atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris
I25.82,chronic total occlusion of coronary artery
I25.83,coronary atherosclerosis due to lipid rich plaque
I25.84,coronary atherosclerosis due to calcified coronary lesion
I25.85,chronic coronary microvascular dysfunction
I25.89,other forms of chronic ischemic heart disease
I25.9,"chronic ischemic heart disease, unspecified"
I26.01,septic pulmonary embolism with acute cor pulmonale
I26.02,saddle embolus of pulmonary artery with acute cor pulmonale
I26.09,other pulmonary embolism with acute cor pulmonale
I26.90,septic pulmonary embolism without acute cor pulmonale
I26.92,saddle embolus of pulmonary artery without acute cor pulmonale
I26.93,single subsegmental pulmonary embolism without acute cor pulmonale
I26.94,multiple subsegmental pulmonary emboli without acute cor pulmonale
I26.99,other pulmonary embolism without acute cor pulmonale
I27.0,primary pulmonary hypertension
I27.1,kyphoscoliotic heart disease
I27.20,"pulmonary hypertension, unspecified"
I27.21,secondary pulmonary arterial hypertension
I27.22,pulmonary hypertension due to left heart disease
I27.23,pulmonary hypertension due to lung diseases and hypoxia
I27.24,chronic thromboembolic pulmonary hypertension
I27.29,other secondary pulmonary hypertension
I27.81,cor pulmonale (chronic)
I27.82,chronic pulmonary embolism
I27.83,eisenmenger's syndrome
I27.89,other specified pulmonary heart diseases
I27.9,"pulmonary heart disease, unspecified"
I28.0,arteriovenous fistula of pulmonary vessels
I28.1,aneurysm of pulmonary artery
I28.8,other diseases of pulmonary vessels
I28.9,"disease of pulmonary vessels, unspecified"
I30.0,acute nonspecific idiopathic pericarditis
I30.1,infective pericarditis
I30.8,other forms of acute pericarditis
I30.9,"acute pericarditis, unspecified"
I31.0,chronic adhesive pericarditis
I31.1,chronic constrictive pericarditis
I31.2,"hemopericardium, not elsewhere classified"
I31.31,malignant pericardial effusion in diseases classified elsewhere
I31.39,other pericardial effusion (noninflammatory)
I31.4,cardiac tamponade
I31.8,other specified diseases of pericardium
I31.9,"disease of pericardium, unspecified"
I32,pericarditis in diseases classified elsewhere
I33.0,acute and subacute infective endocarditis
I33.9,"acute and subacute endocarditis, unspecified"
I34.0,nonrheumatic mitral (valve) insufficiency
I34.1,nonrheumatic mitral (valve) prolapse
I34.2,nonrheumatic mitral (valve) stenosis
I34.81,nonrheumatic mitral (valve) annulus calcification
I34.89,other nonrheumatic mitral valve disorders
I34.9,"nonrheumatic mitral valve disorder, unspecified"
I35.0,nonrheumatic aortic (valve) stenosis
I35.1,nonrheumatic aortic (valve) insufficiency
I35.2,nonrheumatic aortic (valve) stenosis with insufficiency
I35.8,other nonrheumatic aortic valve disorders
I35.9,"nonrheumatic aortic valve disorder, unspecified"
I36.0,nonrheumatic tricuspid (valve) stenosis
I36.1,nonrheumatic tricuspid (valve) insufficiency
I36.2,nonrheumatic tricuspid (valve) stenosis with insufficiency
I36.8,other nonrheumatic tricuspid valve disorders
I36.9,"nonrheumatic tricuspid valve disorder, unspecified"
I37.0,nonrheumatic pulmonary valve stenosis
I37.1,nonrheumatic pulmonary valve insufficiency
I37.2,nonrheumatic pulmonary valve stenosis with insufficiency
I37.8,other nonrheumatic pulmonary valve disorders
I37.9,"nonrheumatic pulmonary valve disorder, unspecified"
I38,"endocarditis, valve unspecified"
I39,endocarditis and heart valve disorders in diseases classified elsewhere
I40.0,infective myocarditis
I40.1,isolated myocarditis
I40.8,other acute myocarditis
I40.9,"acute myocarditis, unspecified"
I41,myocarditis in diseases classified elsewhere
I42.0,dilated cardiomyopathy
I42.1,obstructive hypertrophic cardiomyopathy
I42.2,other hypertrophic cardiomyopathy
I42.3,endomyocardial (eosinophilic) disease
I42.4,endocardial fibroelastosis
I42.5,other restrictive cardiomyopathy
I42.6,alcoholic cardiomyopathy
I42.7,cardiomyopathy due to drug and external agent
I42.8,other cardiomyopathies
I42.9,"cardiomyopathy, unspecified"
I43,cardiomyopathy in diseases classified elsewhere
I44.0,"atrioventricular block, first degree"
I44.1,"atrioventricular block, second degree"
I44.2,"atrioventricular block, complete"
I44.30,unspecified atrioventricular block
I44.39,other atrioventricular block
I44.4,left anterior fascicular block
I44.5,left posterior fascicular block
I44.60,unspecified fascicular block
I44.69,other fascicular block
I44.7,"left bundle-branch block, unspecified"
I45.0,right fascicular block
I45.10,unspecified right bundle-branch block
I45.19,other right bundle-branch block
I45.2,bifascicular block
I45.3,trifascicular block
I45.4,nonspecific intraventricular block
I45.5,other specified heart block
I45.6,pre-excitation syndrome
I45.81,long qt syndrome
I45.89,other specified conduction disorders
I45.9,"conduction disorder, unspecified"
I46.2,cardiac arrest due to underlying cardiac condition
I46.8,cardiac arrest due to other underlying condition
I46.9,"cardiac arrest, cause unspecified"
I47.0,re-entry ventricular arrhythmia
I47.10,"supraventricular tachycardia, unspecified"
